Terminology,Definition,Pod
Mirror,"An application-simulation builder that captures live screens of any web app and stitches them into a hyper-realistic, interactive replica. Learners can safely practise tasks in this sandbox while authors overlay Flows, Smart Tips, Pop-ups, and track analytics, delivering hands-on training without the risks of a production system.",Mirror
Mobile,Mobile‑specific product (iOS/Android deployments).,Mobile
Multiformat,"Refers to exporting Whatfix Flows and Smart Tips into multiple formats, such as videos, slideshows, articles, PDFs, and ODF, to support diverse consumption and delivery needs.",Guidance
Nudge,"A tool used in Task List and Self Help to automatically prompt users, for example, opening a task list or showing a tooltip, based on predefined usage thresholds or inactivity conditions.",Hub
P2P,"is the process of publishing Whatfix content and widgets (such as Flows, Smart Tips, Beacons, styles, and repository links) from the Ready stage to the Production stage so it becomes live and visible to end users.",CMM
Pop-up,"An on-screen modal/card that grabs attention to announce new features, downtime, celebrations or other time-sensitive messages; can include images, GIFs, buttons or links. ",Guidance
QuickRead,"AI-powered summaries for end-user queries, pulling short answers from Flows, Articles, and linked repositories within Self Help.",Hub
Reselection,Requests to re‑select elements (CSS/XPath) for content latching.,WFE
Reserved Variables,Pre‑defined variable slots used to send additional contextual data with every event.,Capture
Smart context,"Patented context engine that auto-segments and shows only relevant content on the right page and step, even starting a Flow mid-stream if the user is already part-way through.",WFE
Smart Tips,"Contextual tool-tips that surface extra guidance or validation exactly where it’s needed (for example, on complex form fields). They appear on hover or via an “i” icon.",Guidance
Static Content,"Help assets (articles, links, PDFs, videos, images) created entirely in the dashboard, independent of live UI elements, for situations where you can’t capture the underlying app.",Hub
Studio/Dashboard,"Whatfix Studio (a browser plug-in) and the redesigned dashboard share a consistent left-hand menu and grouped folders, making navigation, discovery and creation of Flows, Beacons, Surveys etc intuitive for authors.",CMM
Surveys,"Built-in NPS, feedback or custom questionnaires shown inside the product to capture user sentiment and channel the results to analytics for insight-driven improvements.",Hub
Tags,"Enables authors to create role, page or auto tags, bulk-apply them, filter the list view by tag, and drive segmentation and visibility rules in widgets such as Self Help and Task List.",CMM
Task List,"A checklist widget that lists onboarding or change-management tasks, shows progress ticks as each item is done, and nudges users to complete the sequence.",Hub
Triggers,"A rule that fires Whatfix content (e.g., Smart Tip or Flow) automatically when specific conditions in the underlying app are met, such as a value, date or user action, providing timely nudges.",Guidance
User Actions,"Custom, user‑defined events instrumented in the Capture layer to track clicks, page views, or any specific interaction.",Capture
User Attributes,"Key‑value metadata (role, plan, region) attached to users for segmentation in Analytics.",Capture
User Identification,"Rules that map login identifiers (email, SSO, UUID) to a unique Analytics user ID for accurate person-level tracking.",Capture
User Journeys,Path analysis that reveals common sequences of events taken by users.,Insights
User Unification,Logic that merges multiple identifiers for the same person into a single analytics profile.,Capture
Versioning,(Implicitly part of CLM) tracks different versions of content/assets in the Dashboard and enables rollbacks via staging.,CMM
Visibility Rules,"A rule framework that decides where and when widgets or tooltips should appear, based on URL, element attributes, user segments, or behaviors, to ensure contextual relevance.",WFE
